org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 0: 1413
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 1: 308
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 2: 204
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 0: 540
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 1: 150
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 2: 211
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 0: 630
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 1: 201
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 2: 181
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 0: 571
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 1: 281
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 2: 177
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 0: 677
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 1: 210
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 2: 153
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 0: 498
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 1: 164
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 2: 137
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 0: 680
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 1: 154
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 2: 129
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 0: 525
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 1: 151
org/h2/command/dml/Optimizer.canStop:0 | FT_INT | 2: 125
