org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 128: 103153405
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 100: 11119
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 17451
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 19940
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 6482
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 12021
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 4617
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 6914
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 14252
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 3686
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 5455
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 14009
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 3248
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 6403
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 13261
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 3717
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 11657
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 14042
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 4480
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 4532
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 12944
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 3134
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 4579
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 13146
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 3530
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 9216
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 11054
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 3349
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 4894
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 25592
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 4058
org/h2/util/SmallLRUCache.newInstance:0 | FT_INT | 64: 5057
