org/apache/lucene/index/FieldInfo.<init>:0 | FT_STRING | 4: 17485
org/apache/lucene/index/FieldInfo.<init>:0 | FT_STRING | 4: 17485
org/apache/lucene/index/FieldInfo.<init>:1 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:2 | FT_INT | 0: 17485
org/apache/lucene/index/FieldInfo.<init>:3 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:4 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:5 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:6 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:7 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:8 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:1 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:2 | FT_INT | 0: 17485
org/apache/lucene/index/FieldInfo.<init>:3 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:4 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:5 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:6 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:7 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:8 | FT_UNKNOWN | -1: 17485
org/apache/lucene/index/FieldInfo.<init>:0 | FT_STRING | 4: 1428
org/apache/lucene/index/FieldInfo.<init>:0 | FT_STRING | 4: 1382
org/apache/lucene/index/FieldInfo.<init>:1 | FT_UNKNOWN | -1: 1428
org/apache/lucene/index/FieldInfo.<init>:1 | FT_UNKNOWN | -1: 1382
org/apache/lucene/index/FieldInfo.<init>:2 | FT_INT | 0: 1428
org/apache/lucene/index/FieldInfo.<init>:2 | FT_INT | 0: 1382
org/apache/lucene/index/FieldInfo.<init>:3 | FT_UNKNOWN | -1: 1428
org/apache/lucene/index/FieldInfo.<init>:3 | FT_UNKNOWN | -1: 1382
org/apache/lucene/index/FieldInfo.<init>:4 | FT_UNKNOWN | -1: 1428
org/apache/lucene/index/FieldInfo.<init>:4 | FT_UNKNOWN | -1: 1382
org/apache/lucene/index/FieldInfo.<init>:5 | FT_UNKNOWN | -1: 1428
org/apache/lucene/index/FieldInfo.<init>:5 | FT_UNKNOWN | -1: 1382
org/apache/lucene/index/FieldInfo.<init>:6 | FT_UNKNOWN | -1: 1428
org/apache/lucene/index/FieldInfo.<init>:6 | FT_UNKNOWN | -1: 1382
org/apache/lucene/index/FieldInfo.<init>:7 | FT_UNKNOWN | -1: 1428
