org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:0 | FT_INT | 0: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:1 | FT_INT | 1: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:2 | FT_UNKNOWN | -1: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:3 | FT_ARRAY | 6: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:4 | FT_ARRAY | 6: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:5 | FT_ARRAY | 6: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:6 | FT_INT | 9: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:7 | FT_INT | 3: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:8 | FT_UNKNOWN | -1: 14424
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:0 | FT_INT | 2: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:1 | FT_INT | 2: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:2 | FT_UNKNOWN | -1: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:3 | FT_ARRAY | 6: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:4 | FT_ARRAY | 6: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:5 | FT_ARRAY | 6: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:6 | FT_INT | 12: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:7 | FT_INT | 3: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:8 | FT_UNKNOWN | -1: 2241
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:0 | FT_INT | 0: 2831077
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:1 | FT_INT | 1: 2831077
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:2 | FT_UNKNOWN | -1: 2831077
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:3 | FT_ARRAY | 6: 2831077
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:6 | FT_INT | 3: 2831077
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:7 | FT_INT | 2: 2831077
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:8 | FT_UNKNOWN | -1: 2831077
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:0 | FT_INT | 3: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:1 | FT_INT | 4: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:2 | FT_UNKNOWN | -1: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:3 | FT_ARRAY | 6: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:4 | FT_ARRAY | 6: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:5 | FT_ARRAY | 6: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:6 | FT_INT | 15: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:7 | FT_INT | 3: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:8 | FT_UNKNOWN | -1: 1233
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:0 | FT_INT | 5: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:1 | FT_INT | 5: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:2 | FT_UNKNOWN | -1: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:3 | FT_ARRAY | 6: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:4 | FT_ARRAY | 6: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:5 | FT_ARRAY | 6: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:6 | FT_INT | 18: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:7 | FT_INT | 3: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:8 | FT_UNKNOWN | -1: 950
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:0 | FT_INT | 3: 25332
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:1 | FT_INT | 4: 25332
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:2 | FT_UNKNOWN | -1: 25332
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:3 | FT_ARRAY | 6: 25332
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:6 | FT_INT | 6: 25332
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:7 | FT_INT | 2: 25332
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:8 | FT_UNKNOWN | -1: 25332
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:0 | FT_INT | 0: 2961539
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:1 | FT_INT | 2: 2961539
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:2 | FT_UNKNOWN | -1: 2961539
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:3 | FT_ARRAY | 6: 2961539
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:6 | FT_INT | 0: 2961539
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:7 | FT_INT | 1: 2961539
org/sunflow/core/accel/BoundingIntervalHierarchy.subdivide:8 | FT_UNKNOWN | -1: 2961539
